entry_time,exit_time,side,entry_price,exit_price,tp,sl,bars_held,pnl,return,exit_reason
2025-08-06 01:00:00+00:00,2025-08-06 05:00:00+00:00,long,113851.45,113927.69,115374.28314285714,112899.67928571429,16,76.24000000000524,0.0006696445236314974,timeout
2025-08-06 06:15:00+00:00,2025-08-06 10:15:00+00:00,long,113988.01,113974.39,115569.83857142857,112999.36714285714,16,-13.619999999995343,-0.00011948625122936477,timeout
2025-08-06 11:15:00+00:00,2025-08-06 15:15:00+00:00,long,114240.7,114947.89,115797.87257142857,113267.46714285715,16,707.1900000000023,0.00619035072439159,timeout
2025-08-06 17:00:00+00:00,2025-08-06 21:00:00+00:00,short,115153.24,115219.68,113852.75542857143,116020.22971428573,16,-66.43999999998778,-0.0005769703049604837,timeout
2025-08-06 23:00:00+00:00,2025-08-07 03:00:00+00:00,short,115059.99,114452.01,113834.76342857143,115876.80771428572,16,607.9800000000105,0.005284026184949351,timeout
2025-08-07 04:00:00+00:00,2025-08-07 08:00:00+00:00,long,114578.61,114950.84,116176.60314285714,113579.86428571428,16,372.2299999999959,0.003248686644042862,timeout
2025-08-07 09:15:00+00:00,2025-08-07 11:15:00+00:00,long,115023.67,116755.37628571429,116755.37628571429,113941.35357142857,8,1731.7062857142882,0.015055216771593953,tp
2025-08-07 13:00:00+00:00,2025-08-07 17:00:00+00:00,short,116244.17,116393.12,114947.07628571428,117108.89914285715,16,-148.9499999999971,-0.001281354583201868,timeout
2025-08-07 18:00:00+00:00,2025-08-07 22:00:00+00:00,long,116217.16,117462.99,118028.88457142857,115084.83214285715,16,1245.8300000000017,0.010719845503022116,timeout
2025-08-07 23:00:00+00:00,2025-08-08 03:00:00+00:00,short,117379.99,116805.04,116161.26485714286,118192.47342857144,16,574.9500000000116,0.004898194317447221,timeout
2025-08-08 04:45:00+00:00,2025-08-08 08:45:00+00:00,short,116750.01,116620.63,115562.52342857143,117541.66771428571,16,129.3799999999901,0.0011081797766012192,timeout
2025-08-08 10:45:00+00:00,2025-08-08 14:45:00+00:00,long,116544.39,116491.53,118111.49285714286,115564.95071428572,16,-52.86000000000058,-0.000453561085179652,timeout
2025-08-08 15:45:00+00:00,2025-08-08 19:45:00+00:00,long,116207.69,116453.41,117812.63628571428,115204.59857142858,16,245.72000000000116,0.0021144900135266534,timeout
2025-08-08 21:00:00+00:00,2025-08-09 01:00:00+00:00,short,116828.99,116611.47,115715.88457142857,117571.0602857143,16,217.52000000000407,0.0018618666479955366,timeout
2025-08-09 02:00:00+00:00,2025-08-09 06:00:00+00:00,long,116435.0,116580.0,117882.232,115530.48,16,145.0,0.0012453300124533001,timeout
2025-08-09 07:00:00+00:00,2025-08-09 11:00:00+00:00,long,116740.01,117233.11,118207.07742857143,115823.09285714285,16,493.1000000000058,0.004223916033586136,timeout
2025-08-09 12:00:00+00:00,2025-08-09 16:00:00+00:00,short,117212.12,116820.0,116083.79685714285,117964.33542857143,16,392.11999999999534,0.003345387831906763,timeout
2025-08-09 17:00:00+00:00,2025-08-09 21:00:00+00:00,short,116739.26,116700.0,115747.54742857142,117400.4017142857,16,39.25999999999476,0.0003363050271176532,timeout
2025-08-09 22:00:00+00:00,2025-08-10 02:00:00+00:00,long,116573.35,116627.85,117884.89057142858,115753.63714285714,16,54.5,0.0004675168037977805,timeout
2025-08-10 03:30:00+00:00,2025-08-10 07:30:00+00:00,short,118217.31,117638.95,117220.65342857143,118881.74771428571,16,578.3600000000006,0.004892346137803344,timeout
2025-08-10 08:30:00+00:00,2025-08-10 12:30:00+00:00,long,118134.13,118699.99,119534.17114285714,117259.10428571429,16,565.8600000000006,0.00478997898405821,timeout
2025-08-10 13:45:00+00:00,2025-08-10 17:45:00+00:00,short,118452.0,118520.32,117375.42857142857,119169.71428571429,16,-68.32000000000698,-0.0005767737142471802,timeout
2025-08-10 18:45:00+00:00,2025-08-10 22:45:00+00:00,long,118554.01,119084.92,119979.48657142857,117663.08714285714,16,530.9100000000035,0.004478212082408714,timeout
2025-08-10 23:45:00+00:00,2025-08-11 02:00:00+00:00,long,119294.01,120701.55514285713,120701.55514285713,118414.29428571428,9,1407.5451428571396,0.011798959083168884,tp
2025-08-11 03:00:00+00:00,2025-08-11 07:00:00+00:00,long,121991.55,121986.0,123661.68028571429,120947.71857142857,16,-5.55000000000291,-4.5494954363666255e-05,timeout
2025-08-11 08:00:00+00:00,2025-08-11 11:45:00+00:00,short,121650.69,120287.18914285714,120287.18914285714,122559.69057142858,15,1363.5008571428625,0.011208328182461296,tp
2025-08-11 12:45:00+00:00,2025-08-11 16:45:00+00:00,long,119643.7,119953.65,121535.31028571428,118461.44357142856,16,309.9499999999971,0.002590608615413909,timeout
2025-08-11 17:45:00+00:00,2025-08-11 21:45:00+00:00,short,119500.0,118712.61,117995.42114285714,120503.05257142858,16,787.3899999999994,0.00658903765690376,timeout
2025-08-11 22:45:00+00:00,2025-08-12 02:45:00+00:00,short,118886.96,119054.13,117332.282,119923.41200000001,16,-167.16999999999825,-0.0014061256171408391,timeout
2025-08-12 03:45:00+00:00,2025-08-12 07:45:00+00:00,short,118857.7,118986.72,117282.88685714285,119907.57542857142,16,-129.02000000000407,-0.0010854997194124072,timeout
2025-08-12 08:45:00+00:00,2025-08-12 12:45:00+00:00,short,118814.7,119264.66,117335.58514285713,119800.77657142856,16,-449.9600000000064,-0.0037870734850149555,timeout
2025-08-12 13:45:00+00:00,2025-08-12 15:30:00+00:00,short,118847.35,119856.25914285715,117333.98628571429,119856.25914285715,7,-1008.909142857141,-0.008489117703147281,sl
2025-08-12 16:30:00+00:00,2025-08-12 20:30:00+00:00,short,119552.01,120034.51,118027.71857142856,120568.20428571428,16,-482.5,-0.004035900358346129,timeout
2025-08-12 21:30:00+00:00,2025-08-13 01:30:00+00:00,short,119999.4,119437.5,118478.82428571428,121013.11714285714,16,561.8999999999942,0.004682523412617014,timeout
2025-08-13 02:30:00+00:00,2025-08-13 06:30:00+00:00,short,119610.71,119180.0,118039.78742857144,120657.99171428572,16,430.7100000000064,0.003600931722585765,timeout
2025-08-13 07:30:00+00:00,2025-08-13 10:00:00+00:00,short,119327.36,120355.39257142857,117785.31114285714,120355.39257142857,10,-1028.0325714285718,-0.008615229327361066,sl
2025-08-13 11:00:00+00:00,2025-08-13 13:45:00+00:00,short,120634.74,121553.92914285715,119255.95628571429,121553.92914285715,11,-919.1891428571398,-0.007619605619883126,sl
2025-08-13 16:15:00+00:00,2025-08-13 19:30:00+00:00,short,121538.15,122549.17685714285,120021.6097142857,122549.17685714285,13,-1011.0268571428605,-0.008318596729856926,sl
2025-08-13 20:30:00+00:00,2025-08-14 00:00:00+00:00,short,122807.27,123823.15171428572,121283.44742857144,123823.15171428572,14,-1015.8817142857151,-0.008272162668266423,sl
2025-08-14 01:00:00+00:00,2025-08-14 05:00:00+00:00,short,123609.52,122879.73,122168.53,124570.18000000001,16,729.7900000000081,0.005903995096817851,timeout
2025-08-14 06:00:00+00:00,2025-08-14 10:00:00+00:00,short,121738.39,121480.33,120212.35257142856,122755.74828571429,16,258.0599999999977,0.0021197914643030654,timeout
2025-08-14 11:00:00+00:00,2025-08-14 12:30:00+00:00,short,120829.99,119246.53857142858,119246.53857142858,121885.6242857143,6,1583.451428571425,0.013104788211696656,tp
