X_SL_ATR,Y_TP_ATR,hit,bars_held,return_pct
1.75,1.5,TIMEOUT,16,0.0021621001482463238
1.75,1.5,TIMEOUT,16,-0.00020511160041329925
1.5,3.0,TIMEOUT,16,0.005348408439634787
2.0,2.5,TIMEOUT,16,0.00213033704561412
1.5,3.0,SL,2,-0.0020175202162848187
1.75,2.5,TP,3,0.004661484395123802
1.5,1.5,SL,3,-0.0036064882157394547
2.0,3.0,TP,3,0.0070533923620384525
2.0,3.5,SL,1,-0.0037827612509534945
1.0,2.5,SL,8,-0.0015884445267725059
1.0,3.0,TP,4,0.00404285047452205
1.0,3.5,TIMEOUT,16,0.001870760894987148
1.25,2.5,TP,10,0.014423598156445741
1.0,2.0,SL,4,-0.0025828981180216477
1.25,2.5,TIMEOUT,16,0.003431738556085251
1.25,2.0,SL,1,-0.004412511391805766
1.0,2.0,SL,2,-0.0025187190889113436
2.0,3.0,SL,4,-0.0015082780916517956
1.0,3.0,TIMEOUT,16,0.002527365299977364
2.0,3.5,TIMEOUT,16,0.006026711328899631
1.5,1.5,TP,1,0.006642455049422275
2.0,2.0,TP,1,0.003346893723728682
1.25,1.5,TP,1,0.003540816118391692
1.0,2.0,TP,5,0.0028000691012580606
1.25,3.5,SL,14,-0.006453009472045455
1.75,3.5,SL,8,-0.00358351272591939
1.75,2.5,TP,15,0.012030228089538748
1.25,2.0,TIMEOUT,16,0.0008686932459336561
1.0,2.0,TP,5,0.008292428158091895
1.0,3.0,SL,3,-0.001293044715133105
1.25,2.0,SL,7,-0.004452836770402821
2.0,3.5,SL,14,-0.007462274491420805
1.25,1.5,TIMEOUT,16,0.002542899005730369
1.25,1.5,SL,2,-0.002205435666247824
1.0,3.0,SL,2,-0.002201978291989063
1.75,2.0,SL,5,-0.00457081723255414
1.0,3.0,SL,3,-0.0021569043942030095
2.0,2.5,TP,14,0.007926528904765731
1.5,3.0,SL,3,-0.0005874154186159028
2.0,2.5,TP,8,0.004016306358438288
2.0,2.0,TIMEOUT,16,0.0030219472362501996
1.5,2.5,SL,2,-0.006781729676324562
1.75,1.5,TIMEOUT,16,-0.00447347780618181
2.0,3.0,TIMEOUT,16,-0.004741353863159066
